index,round,homeTeam,awayTeam,xg,goal,minute,goalDifference,player,playerID,position,rating,team,eloTeam,keeper,keeperID,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart
0,1,Nice,Lille,0.017377186566591,0,3,0,Carlos Baleba,1199043,M,49,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,29,53,31,24,assisted,strong-foot
0,1,Nice,Lille,0.038827367126942,0,7,0,Dante,3577,D,51,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,12,37,12,14,corner,head
0,1,Nice,Lille,0.02695438079536,0,10,0,Gaëtan Laborde,149730,F,81,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,1,56,16,86,regular,strong-foot
0,1,Nice,Lille,0.066283658146858,0,13,0,Morgan Sanson,250133,M,72,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,30,34,30,11,free-kick,strong-foot
0,1,Nice,Lille,0.019783919677138,0,18,0,Carlos Baleba,1199043,M,49,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,34,29,35,17,assisted,strong-foot
0,1,Nice,Lille,0.44988289475441,1,18,0,Gaëtan Laborde,149730,F,81,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,12,47,13,30,fast-break,weak-foot
0,1,Nice,Lille,0.50671547651291,0,20,1,Terem Moffi,894396,F,76,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,12,38,12,9,assisted,weak-foot
0,1,Nice,Lille,0.042958993464708,0,22,-1,Jonathan David,935564,F,80,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,19,22,26,43,assisted,weak-foot
0,1,Nice,Lille,0.064097046852112,0,36,-1,Benjamin André,51665,M,63,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,11,35,12,24,set-piece,head
0,1,Nice,Lille,0.44923329353333,0,41,-1,Rémy Cabella,72998,M,73,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,12,33,13,30,assisted,strong-foot
0,1,Nice,Lille,0.053687427192926,0,45,1,Morgan Sanson,250133,M,72,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,20,43,20,8,assisted,strong-foot
0,1,Nice,Lille,0.034235343337059,0,45,-1,Tiago Santos,1087364,D,43,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,23,53,26,29,regular,strong-foot
0,1,Nice,Lille,0.039279963821173,0,56,-1,Rémy Cabella,72998,M,73,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,23,41,23,2,assisted,weak-foot
0,1,Nice,Lille,0.11082223057747,0,69,-1,Jonathan David,935564,F,80,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,5,27,13,68,assisted,weak-foot
0,1,Nice,Lille,0.24454648792744,0,69,-1,Edon Zhegrova,887766,M,65,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,11,38,11,10,regular,strong-foot
0,1,Nice,Lille,0.036648038774729,0,71,-1,Edon Zhegrova,887766,M,65,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,17,53,21,37,assisted,strong-foot
0,1,Nice,Lille,0.012288823723793,0,83,1,Pablo Rosario,804472,M,63,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,15,34,16,21,corner,head
0,1,Nice,Lille,0.016906438395381,0,85,1,Hicham Boudaoui,985923,M,64,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,29,24,33,28,assisted,strong-foot
0,1,Nice,Lille,0.070267610251904,0,87,-1,Gabriel Gudmundsson,834308,D,63,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,8,31,12,48,assisted,strong-foot
0,1,Nice,Lille,0.22431692481041,1,90,-1,Bafodé Diakité,962408,D,39,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,6,38,6,18,set-piece,head
1,1,Nice,Lille,0.017377186566591,0,3,0,Carlos Baleba,1199043,M,49,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,29,53,31,24,assisted,strong-foot
1,1,Nice,Lille,0.038827367126942,0,7,0,Dante,3577,D,51,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,12,37,12,14,corner,head
1,1,Nice,Lille,0.02695438079536,0,10,0,Gaëtan Laborde,149730,F,81,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,1,56,16,86,regular,strong-foot
1,1,Nice,Lille,0.066283658146858,0,13,0,Morgan Sanson,250133,M,72,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,30,34,30,11,free-kick,strong-foot
1,1,Nice,Lille,0.019783919677138,0,18,0,Carlos Baleba,1199043,M,49,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,34,29,35,17,assisted,strong-foot
1,1,Nice,Lille,0.44988289475441,1,18,0,Gaëtan Laborde,149730,F,81,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,12,47,13,30,fast-break,weak-foot
1,1,Nice,Lille,0.50671547651291,0,20,1,Terem Moffi,894396,F,76,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,12,38,12,9,assisted,weak-foot
1,1,Nice,Lille,0.042958993464708,0,22,-1,Jonathan David,935564,F,80,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,19,22,26,43,assisted,weak-foot
1,1,Nice,Lille,0.064097046852112,0,36,-1,Benjamin André,51665,M,63,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,11,35,12,24,set-piece,head
1,1,Nice,Lille,0.44923329353333,0,41,-1,Rémy Cabella,72998,M,73,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,12,33,13,30,assisted,strong-foot
1,1,Nice,Lille,0.053687427192926,0,45,1,Morgan Sanson,250133,M,72,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,20,43,20,8,assisted,strong-foot
1,1,Nice,Lille,0.034235343337059,0,45,-1,Tiago Santos,1087364,D,43,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,23,53,26,29,regular,strong-foot
1,1,Nice,Lille,0.039279963821173,0,56,-1,Rémy Cabella,72998,M,73,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,23,41,23,2,assisted,weak-foot
1,1,Nice,Lille,0.11082223057747,0,69,-1,Jonathan David,935564,F,80,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,5,27,13,68,assisted,weak-foot
1,1,Nice,Lille,0.24454648792744,0,69,-1,Edon Zhegrova,887766,M,65,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,11,38,11,10,regular,strong-foot
1,1,Nice,Lille,0.036648038774729,0,71,-1,Edon Zhegrova,887766,M,65,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,17,53,21,37,assisted,strong-foot
1,1,Nice,Lille,0.012288823723793,0,83,1,Pablo Rosario,804472,M,63,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,15,34,16,21,corner,head
1,1,Nice,Lille,0.016906438395381,0,85,1,Hicham Boudaoui,985923,M,64,Nice,1656,Lucas Chevalier,996953,78,Lille,1698,True,29,24,33,28,assisted,strong-foot
1,1,Nice,Lille,0.070267610251904,0,87,-1,Gabriel Gudmundsson,834308,D,63,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,8,31,12,48,assisted,strong-foot
1,1,Nice,Lille,0.22431692481041,1,90,-1,Bafodé Diakité,962408,D,39,Lille,1698,Marcin Bułka,889590,73,Nice,1656,False,6,38,6,18,set-piece,head
2,1,Olympique de Marseille,Stade de Reims,0.0181276910007,0,3,0,Samuel Gigot,339231,D,36,Olympique de Marseille,1700,Yehvann Diouf,845183,76,Stade de Reims,1594,True,13,32,15,31,corner,head
