minute,goalDifference,player,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart,xg,goal
38,0,Christian Pulišić,M,75,Milan,1848,Elia Caprile,73,Empoli,1623,True,11,33,13,32,assisted,head,0.091818101704121,0
40,0,Christian Pulišić,M,75,Milan,1848,Elia Caprile,73,Empoli,1623,True,20,41,20,2,assisted,left-foot,0.11860802024603,1
45,1,Luka Jović,F,78,Milan,1848,Elia Caprile,73,Empoli,1623,True,12,35,13,22,corner,head,0.025913026183844,0
48,1,Davide Calabria,D,57,Milan,1848,Elia Caprile,73,Empoli,1623,True,15,53,19,40,regular,right-foot,0.038356941193342,0
56,-1,Szymon Żurkowski,M,71,Empoli,1623,Mike Maignan,87,Milan,1848,False,10,24,18,57,corner,left-foot,0.017791669815779,0
56,-1,Nicolò Cambiaghi,F,72,Empoli,1623,Mike Maignan,87,Milan,1848,False,17,20,26,49,assisted,right-foot,0.026600668206811,0
58,1,Ruben Loftus-Cheek,M,72,Milan,1848,Elia Caprile,73,Empoli,1623,True,30,50,31,18,assisted,right-foot,0.012133622542024,0
66,1,Samuel Chukwueze,F,73,Milan,1848,Elia Caprile,73,Empoli,1623,True,11,49,14,39,assisted,left-foot,0.071692571043968,0
74,1,Ruben Loftus-Cheek,M,72,Milan,1848,Elia Caprile,73,Empoli,1623,True,23,31,24,21,assisted,left-foot,0.034020438790321,0
77,1,Davide Calabria,D,57,Milan,1848,Elia Caprile,73,Empoli,1623,True,3,46,6,63,assisted,head,0.22436641156673,0
79,1,Yunus Musah,M,67,Milan,1848,Elia Caprile,73,Empoli,1623,True,22,38,22,5,assisted,left-foot,0.079918473958969,0
87,-1,Mattia Destro,F,70,Empoli,1623,Mike Maignan,87,Milan,1848,False,12,46,13,26,corner,head,0.046345647424459,0
90,1,Samuel Chukwueze,F,73,Milan,1848,Elia Caprile,73,Empoli,1623,True,24,36,24,9,assisted,left-foot,0.032007575035095,0
2,0,Sandi Lovrić,M,62,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,29,50,30,19,fast-break,right-foot,0.047604385763407,0
3,0,Sandi Lovrić,M,62,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,31,27,33,22,corner,right-foot,0.0060858032666147,0
4,0,Mattia Zaccagni,F,76,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,27,36,27,8,assisted,right-foot,0.030013842508197,0
10,0,Luis Alberto,M,76,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,28,32,29,15,assisted,right-foot,0.050506372004747,0
17,0,Mattia Zaccagni,F,76,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,10,27,16,52,assisted,right-foot,0.085448332130909,0
21,0,Mario Gila Fuentes,D,39,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,10,42,10,11,set-piece,head,0.074146531522274,0
23,0,Ciro Immobile,F,86,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,16,49,18,29,assisted,right-foot,0.10068305581808,0
24,0,Roberto Pereyra,F,74,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,24,48,25,18,assisted,left-foot,0.032148163765669,0
28,0,Martín Payero,M,62,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,29,26,32,25,assisted,right-foot,0.017064429819584,0
28,0,Mattia Zaccagni,F,76,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,4,40,4,0,assisted,left-foot,0.7641903758049,0
31,0,Luis Alberto,M,76,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,31,23,35,28,assisted,right-foot,0.014249479398131,0
33,0,Sandi Lovrić,M,62,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,18,39,18,3,assisted,right-foot,0.088556066155434,0
33,0,Oier Zarraga,M,64,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,34,46,34,10,regular,right-foot,0.016382435336709,0
35,0,Matías Vecino,M,72,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,28,37,28,6,regular,left-foot,0.025196058675647,0
36,0,Hassane Kamara,M,57,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,7,32,10,48,assisted,left-foot,0.13069616258144,0
37,0,Lautaro Giannetti,D,34,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,12,41,12,4,corner,head,0.056334644556046,0
38,0,Lautaro Giannetti,D,34,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,14,30,17,35,corner,other,0.014352065511048,0
40,0,Felipe Anderson,F,78,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,23,44,23,9,assisted,right-foot,0.077796921133995,0
47,0,Hassane Kamara,M,57,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,16,23,23,46,assisted,left-foot,0.046079710125923,0
47,0,Lorenzo Lucca,F,72,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,6,40,6,0,assisted,right-foot,0.62757837772369,1
49,-1,Lautaro Giannetti,D,34,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,7,25,16,64,regular,right-foot,,1
51,0,Oier Zarraga,M,64,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,21,43,21,8,assisted,right-foot,0.10261054337025,1
58,-1,Manuel Lazzari,D,60,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,13,43,13,12,fast-break,right-foot,0.59078085422516,0
58,-1,Gustav Isaksen,F,69,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,23,51,25,25,fast-break,right-foot,0.10332407802343,0
59,-1,Ciro Immobile,F,86,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,1,51,11,84,corner,right-foot,0.01819871366024,0
60,-1,Ciro Immobile,F,86,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,14,40,14,0,assisted,right-foot,0.095988966524601,0
63,-1,Daichi Kamada,M,71,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,26,32,27,17,assisted,right-foot,0.031947478652,0
70,-1,Gustav Isaksen,F,69,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,29,46,29,11,free-kick,left-foot,0.061263255774975,0
71,-1,Gustav Isaksen,F,69,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,26,37,26,6,assisted,left-foot,0.030545856803656,0
78,1,Nehuén Pérez,D,25,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,10,48,12,38,corner,head,0.017137767747045,0
84,-1,Matías Vecino,M,72,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,11,36,11,19,assisted,right-foot,0.11768079549074,0
84,-1,Matías Vecino,M,72,Lazio,1762,Maduka Okoye,70,Udinese,1635,True,10,27,16,52,assisted,right-foot,0.09220727533102,0
90,1,Lazar Samardžić,M,69,Udinese,1635,Ivan Provedel,82,Lazio,1762,False,71,16,74,18,fast-break,left-foot,0.031618095934391,0
