index,round,homeTeam,awayTeam,xg,goal,minute,goalDifference,player,playerID,position,rating,team,eloTeam,keeper,keeperID,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart
0,1,Olympique Lyonnais,Ajaccio,0.070945531129837,0,7,0,Lucas Paquetá,839981,M,77,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,14,27,19,42,assisted,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.018060654401779,0,7,0,Tetê,980327,M,71,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,29,64,37,39,corner,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.099687099456787,1,12,0,Tetê,980327,M,71,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,17,42,17,6,assisted,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.033068716526031,0,18,-1,Riad Nouri,74061,M,72,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,6,29,12,61,assisted,head
0,1,Olympique Lyonnais,Ajaccio,0.7884,1,22,1,Alexandre Lacazette,50070,F,81,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,13,40,13,0,penalty,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.7884,1,31,-2,Thomas Mangani,14142,M,68,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,13,40,13,0,penalty,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.080022841691971,0,32,-1,Thomas Mangani,14142,M,68,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,25,42,25,4,regular,weak-foot
0,1,Olympique Lyonnais,Ajaccio,0.02527067065239,0,41,1,Malo Gusto,996958,D,48,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,17,59,25,48,assisted,weak-foot
0,1,Olympique Lyonnais,Ajaccio,0.19328406453133,0,42,-1,Romain Hamouma,74139,F,74,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,24,30,26,22,fast-break,weak-foot
0,1,Olympique Lyonnais,Ajaccio,0.011573106050491,0,56,1,Alexandre Lacazette,50070,F,81,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,40,19,45,27,assisted,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.21351662278175,0,59,-1,Riad Nouri,74061,M,72,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,17,45,17,16,assisted,weak-foot
0,1,Olympique Lyonnais,Ajaccio,0.020645320415497,0,60,-1,Mounaim El Idrissy,960007,F,68,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,8,60,21,68,regular,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.022069156169891,0,62,1,Nicolás Tagliafico,158243,D,54,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,12,28,16,45,regular,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.055280566215515,0,66,1,Tetê,980327,M,71,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,28,49,29,17,regular,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.027477860450745,0,70,1,Johann Lepenant,963299,M,42,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,29,55,32,27,corner,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.097078233957291,0,73,-1,Bevic Moussiti Oko,806520,F,69,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,10,40,10,0,corner,head
0,1,Olympique Lyonnais,Ajaccio,0.062352359294891,0,77,-1,Yanis Cimignani,1049523,M,66,Ajaccio,1497,Anthony Lopes,48535,82,Olympique Lyonnais,1735,False,16,39,16,3,assisted,strong-foot
0,1,Olympique Lyonnais,Ajaccio,0.089062422513962,0,86,1,Bradley Barcola,996952,F,61,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,6,29,12,61,assisted,weak-foot
0,1,Olympique Lyonnais,Ajaccio,0.12904497981071,0,90,1,Rayan Cherki,979128,M,65,Olympique Lyonnais,1735,Benjamin Leroy,80392,73,Ajaccio,1497,True,23,43,23,7,assisted,weak-foot
1,1,Clermont Foot,Paris Saint-Germain,0.049031525850296,0,2,0,Komnen Andrić,314138,F,67,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,13,44,13,17,assisted,head
1,1,Clermont Foot,Paris Saint-Germain,0.16087645292282,0,7,0,Neymar,124712,M,82,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,10,39,10,5,assisted,weak-foot
1,1,Clermont Foot,Paris Saint-Germain,0.11364004015923,1,9,0,Neymar,124712,M,82,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,18,43,18,9,assisted,weak-foot
1,1,Clermont Foot,Paris Saint-Germain,0.071820139884949,0,14,-1,Muhammed Cham-Saračević,958901,M,52,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,31,42,31,3,free-kick,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.086390256881714,0,18,1,Vitinha,902029,M,13,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,22,39,22,2,regular,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.030245810747147,0,22,-1,Maxime Gonalons,82555,M,60,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,29,29,31,20,regular,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.31466490030289,1,26,1,Achraf Hakimi,814594,D,74,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,12,51,16,42,fast-break,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.11943051218987,0,29,2,Sergio Ramos,10710,D,69,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,8,32,11,45,corner,head
1,1,Clermont Foot,Paris Saint-Germain,0.10008805990219,0,30,2,Marquinhos,155995,D,54,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,7,34,9,40,corner,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.13432240486145,0,37,2,Nuno Mendes,989768,D,56,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,15,27,19,40,assisted,weak-foot
1,1,Clermont Foot,Paris Saint-Germain,0.34603664278984,1,38,2,Marquinhos,155995,D,54,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,8,40,8,0,set-piece,head
1,1,Clermont Foot,Paris Saint-Germain,0.19935718178749,0,45,3,Lionel Messi,12994,F,88,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,9,32,12,41,regular,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.11641585826874,0,50,3,Lionel Messi,12994,F,88,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,25,43,25,6,free-kick,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.034716367721558,0,50,-3,Jim Allevinah,988632,M,69,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,27,33,27,14,regular,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.042624473571777,0,53,-3,Komnen Andrić,314138,F,67,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,23,39,23,2,regular,weak-foot
1,1,Clermont Foot,Paris Saint-Germain,0.31365928053856,0,54,3,Presnel Kimpembe,352916,D,42,Paris Saint-Germain,1858,Mory Diaw,580226,69,Clermont Foot,1511,False,6,45,7,39,set-piece,head
1,1,Clermont Foot,Paris Saint-Germain,0.05297002196312,0,58,-3,Neto Borges,920008,D,48,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,22,21,29,40,assisted,strong-foot
1,1,Clermont Foot,Paris Saint-Germain,0.031580567359924,0,65,-3,Muhammed Cham-Saračević,958901,M,52,Clermont Foot,1511,Gianluigi Donnarumma,824509,88,Paris Saint-Germain,1858,True,23,47,24,16,assisted,weak-foot
