index,round,homeTeam,awayTeam,xg,goal,minute,goalDifference,player,playerID,position,rating,team,eloTeam,keeper,keeperID,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart
0,1,Athletic Club,Getafe,0.016696920618415,0,6,0,Carles Pérez,794950,M,73,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,21,58,27,40,assisted,strong-foot
0,1,Athletic Club,Getafe,0.02625772729516,0,22,0,Omar Alderete,805137,D,57,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,12,35,13,22,set-piece,head
0,1,Athletic Club,Getafe,0.047519829124212,1,27,0,Oihan Sancet,966801,M,76,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,26,36,26,8,assisted,strong-foot
0,1,Athletic Club,Getafe,0.027998650446534,0,40,-1,Carles Pérez,794950,M,73,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,33,40,33,0,assisted,strong-foot
0,1,Athletic Club,Getafe,0.04327254742384,0,45,1,Iñaki Williams,783374,M,80,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,21,53,24,31,assisted,weak-foot
0,1,Athletic Club,Getafe,0.16881322860718,0,48,-1,Peter González,1048927,F,61,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,13,46,14,24,regular,strong-foot
0,1,Athletic Club,Getafe,0.51287406682968,0,52,-1,Carles Aleñá,794937,M,69,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,12,37,12,14,assisted,strong-foot
0,1,Athletic Club,Getafe,0.014067197218537,0,54,-1,Omar Alderete,805137,D,57,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,3,28,12,75,corner,strong-foot
0,1,Athletic Club,Getafe,0.010067826136947,0,62,-1,Álex Sola,966836,M,57,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,34,42,34,3,set-piece,strong-foot
0,1,Athletic Club,Getafe,0.046931803226471,1,64,-1,Christantus Uche,1884145,M,61,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,10,43,10,16,corner,head
0,1,Athletic Club,Getafe,0.025180170312524,0,77,0,Nico Williams,1085400,M,73,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,27,22,32,33,assisted,strong-foot
0,1,Athletic Club,Getafe,0.094702251255512,0,80,0,Gorka Guruzeta,605672,F,78,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,9,47,11,37,corner,strong-foot
0,1,Athletic Club,Getafe,0.026197597384453,0,80,0,Nico Williams,1085400,M,73,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,32,20,37,32,free-kick,strong-foot
0,1,Athletic Club,Getafe,0.015353715978563,0,85,0,Nabil Aberdin,1136806,D,24,Getafe,1626,Alex Padilla,1155116,63,Athletic Club,1764,False,36,22,40,26,assisted,strong-foot
0,1,Athletic Club,Getafe,0.072256952524185,0,87,0,Iñaki Williams,783374,M,80,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,25,43,25,6,assisted,strong-foot
0,1,Athletic Club,Getafe,0.021676624193788,0,90,0,Yuri Berchiche,84531,D,68,Athletic Club,1764,David Soria,604258,80,Getafe,1626,True,31,31,32,16,set-piece,strong-foot
