,game,round,week,date,home_team,away_team,home_score,away_score,game_id
158,2025-01-19 Angers-Auxerre,18,18,2025-01-19 16:15:00+00:00,Angers,Auxerre,2.0,0.0,12450963
159,2025-01-19 Olympique de Marseille-RC Strasbourg,18,18,2025-01-19 19:45:00+00:00,Olympique de Marseille,RC Strasbourg,1.0,1.0,12450951
160,2025-01-19 Saint-Étienne-Nantes,18,18,2025-01-19 14:00:00+00:00,Saint-Étienne,Nantes,1.0,1.0,12450957
161,2025-01-19 Stade de Reims-Le Havre,18,18,2025-01-19 16:15:00+00:00,Stade de Reims,Le Havre,1.0,1.0,12450961
162,2025-01-24 Auxerre-Saint-Étienne,19,19,2025-01-24 19:45:00+00:00,Auxerre,Saint-Étienne,1.0,1.0,12450979
163,2025-01-25 AS Monaco-Stade Rennais,19,19,2025-01-25 16:00:00+00:00,AS Monaco,Stade Rennais,3.0,2.0,12450972
164,2025-01-25 Paris Saint-Germain-Stade de Reims,19,19,2025-01-25 20:05:00+00:00,Paris Saint-Germain,Stade de Reims,1.0,1.0,12450983
165,2025-01-25 RC Strasbourg-Lille,19,19,2025-01-25 18:00:00+00:00,RC Strasbourg,Lille,2.0,1.0,12450968
166,2025-01-26 Le Havre-Stade Brestois,19,19,2025-01-26 14:00:00+00:00,Le Havre,Stade Brestois,0.0,1.0,12450976
167,2025-01-26 Nantes-Olympique Lyonnais,19,19,2025-01-26 16:15:00+00:00,Nantes,Olympique Lyonnais,1.0,1.0,12450970
168,2025-01-26 Nice-Olympique de Marseille,19,19,2025-01-26 19:45:00+00:00,Nice,Olympique de Marseille,2.0,0.0,12450985
169,2025-01-26 RC Lens-Angers,19,19,2025-01-26 16:15:00+00:00,RC Lens,Angers,1.0,0.0,12450981
170,2025-01-26 Toulouse-Montpellier,19,19,2025-01-26 16:15:00+00:00,Toulouse,Montpellier,1.0,2.0,12450974
171,2025-01-31 Montpellier-RC Lens,20,20,2025-01-31 19:45:00+00:00,Montpellier,RC Lens,0.0,2.0,12450992
172,2025-02-01 AS Monaco-Auxerre,20,20,2025-02-01 18:00:00+00:00,AS Monaco,Auxerre,4.0,2.0,12451005
173,2025-02-01 Lille-Saint-Étienne,20,20,2025-02-01 20:05:00+00:00,Lille,Saint-Étienne,4.0,1.0,12450994
174,2025-02-01 Stade Brestois-Paris Saint-Germain,20,20,2025-02-01 16:00:00+00:00,Stade Brestois,Paris Saint-Germain,2.0,5.0,12450990
175,2025-02-02 Angers-Le Havre,20,20,2025-02-02 16:15:00+00:00,Angers,Le Havre,1.0,1.0,12450998
176,2025-02-02 Olympique de Marseille-Olympique Lyonnais,20,20,2025-02-02 19:45:00+00:00,Olympique de Marseille,Olympique Lyonnais,3.0,2.0,12450987
177,2025-02-02 Stade Rennais-RC Strasbourg,20,20,2025-02-02 16:15:00+00:00,Stade Rennais,RC Strasbourg,1.0,0.0,12451003
178,2025-02-02 Stade de Reims-Nantes,20,20,2025-02-02 16:15:00+00:00,Stade de Reims,Nantes,1.0,2.0,12450996
179,2025-02-02 Toulouse-Nice,20,20,2025-02-02 14:00:00+00:00,Toulouse,Nice,1.0,1.0,12451000
180,2025-02-07 Nantes-Stade Brestois,21,21,2025-02-07 18:00:00+00:00,Nantes,Stade Brestois,0.0,2.0,12451009
181,2025-02-07 Paris Saint-Germain-AS Monaco,21,21,2025-02-07 20:05:00+00:00,Paris Saint-Germain,AS Monaco,4.0,1.0,12451018
182,2025-02-08 Lille-Le Havre,21,21,2025-02-08 18:00:00+00:00,Lille,Le Havre,1.0,2.0,12451013
183,2025-02-08 Nice-RC Lens,21,21,2025-02-08 16:00:00+00:00,Nice,RC Lens,2.0,0.0,12451024
184,2025-02-08 Saint-Étienne-Stade Rennais,21,21,2025-02-08 20:05:00+00:00,Saint-Étienne,Stade Rennais,0.0,2.0,12451015
185,2025-02-09 Angers-Olympique de Marseille,21,21,2025-02-09 19:45:00+00:00,Angers,Olympique de Marseille,0.0,2.0,12451022
186,2025-02-09 Auxerre-Toulouse,21,21,2025-02-09 16:15:00+00:00,Auxerre,Toulouse,2.0,2.0,12451007
