,game,round,week,date,home_team,away_team,home_score,away_score,game_id
233,2025-03-16 VfL Bochum 1848-Eintracht Frankfurt,26,26,2025-03-16 14:30:00+00:00,VfL Bochum 1848,Eintracht Frankfurt,,,12499437
234,2025-03-28 Bayer 04 Leverkusen-VfL Bochum 1848,27,27,2025-03-28 19:30:00+00:00,Bayer 04 Leverkusen,VfL Bochum 1848,,,12499441
235,2025-03-29 Borussia M'gladbach-RB Leipzig,27,27,2025-03-29 14:30:00+00:00,Borussia M'gladbach,RB Leipzig,,,12499451
236,2025-03-29 Eintracht Frankfurt-VfB Stuttgart,27,27,2025-03-29 17:30:00+00:00,Eintracht Frankfurt,VfB Stuttgart,,,12499445
237,2025-03-29 FC Bayern München-FC St. Pauli,27,27,2025-03-29 14:30:00+00:00,FC Bayern München,FC St. Pauli,,,12499443
238,2025-03-29 Holstein Kiel-SV Werder Bremen,27,27,2025-03-29 14:30:00+00:00,Holstein Kiel,SV Werder Bremen,,,12499453
239,2025-03-29 TSG Hoffenheim-FC Augsburg,27,27,2025-03-29 14:30:00+00:00,TSG Hoffenheim,FC Augsburg,,,12499446
240,2025-03-29 VfL Wolfsburg-1. FC Heidenheim,27,27,2025-03-29 14:30:00+00:00,VfL Wolfsburg,1. FC Heidenheim,,,12499450
241,2025-03-30 Borussia Dortmund-1. FSV Mainz 05,27,27,2025-03-30 15:30:00+00:00,Borussia Dortmund,1. FSV Mainz 05,,,12499444
242,2025-03-30 SC Freiburg-1. FC Union Berlin,27,27,2025-03-30 13:30:00+00:00,SC Freiburg,1. FC Union Berlin,,,12499449
243,2025-04-05 1. FC Heidenheim-Bayer 04 Leverkusen,28,28,2025-04-05 13:30:00+00:00,1. FC Heidenheim,Bayer 04 Leverkusen,,,12499455
244,2025-04-05 1. FC Union Berlin-VfL Wolfsburg,28,28,2025-04-05 13:30:00+00:00,1. FC Union Berlin,VfL Wolfsburg,,,12499464
245,2025-04-05 1. FSV Mainz 05-Holstein Kiel,28,28,2025-04-05 13:30:00+00:00,1. FSV Mainz 05,Holstein Kiel,,,12499463
246,2025-04-05 FC Augsburg-FC Bayern München,28,28,2025-04-05 13:30:00+00:00,FC Augsburg,FC Bayern München,,,12499461
247,2025-04-05 FC St. Pauli-Borussia M'gladbach,28,28,2025-04-05 13:30:00+00:00,FC St. Pauli,Borussia M'gladbach,,,12499467
248,2025-04-05 RB Leipzig-TSG Hoffenheim,28,28,2025-04-05 13:30:00+00:00,RB Leipzig,TSG Hoffenheim,,,12499454
249,2025-04-05 SC Freiburg-Borussia Dortmund,28,28,2025-04-05 13:30:00+00:00,SC Freiburg,Borussia Dortmund,,,12499460
250,2025-04-05 SV Werder Bremen-Eintracht Frankfurt,28,28,2025-04-05 13:30:00+00:00,SV Werder Bremen,Eintracht Frankfurt,,,12499458
251,2025-04-05 VfL Bochum 1848-VfB Stuttgart,28,28,2025-04-05 13:30:00+00:00,VfL Bochum 1848,VfB Stuttgart,,,12499466
252,2025-04-12 Bayer 04 Leverkusen-1. FC Union Berlin,29,29,2025-04-12 13:30:00+00:00,Bayer 04 Leverkusen,1. FC Union Berlin,,,12499469
253,2025-04-12 Borussia M'gladbach-SC Freiburg,29,29,2025-04-12 13:30:00+00:00,Borussia M'gladbach,SC Freiburg,,,12499478
254,2025-04-12 Eintracht Frankfurt-1. FC Heidenheim,29,29,2025-04-12 13:30:00+00:00,Eintracht Frankfurt,1. FC Heidenheim,,,12499473
255,2025-04-12 FC Bayern München-Borussia Dortmund,29,29,2025-04-12 13:30:00+00:00,FC Bayern München,Borussia Dortmund,,,12499472
256,2025-04-12 Holstein Kiel-FC St. Pauli,29,29,2025-04-12 13:30:00+00:00,Holstein Kiel,FC St. Pauli,,,12499481
257,2025-04-12 TSG Hoffenheim-1. FSV Mainz 05,29,29,2025-04-12 13:30:00+00:00,TSG Hoffenheim,1. FSV Mainz 05,,,12499474
258,2025-04-12 VfB Stuttgart-SV Werder Bremen,29,29,2025-04-12 13:30:00+00:00,VfB Stuttgart,SV Werder Bremen,,,12499470
259,2025-04-12 VfL Bochum 1848-FC Augsburg,29,29,2025-04-12 13:30:00+00:00,VfL Bochum 1848,FC Augsburg,,,12499479
260,2025-04-12 VfL Wolfsburg-RB Leipzig,29,29,2025-04-12 13:30:00+00:00,VfL Wolfsburg,RB Leipzig,,,12499476
261,2025-04-19 1. FC Heidenheim-FC Bayern München,30,30,2025-04-19 13:30:00+00:00,1. FC Heidenheim,FC Bayern München,,,12499485
262,2025-04-19 1. FC Union Berlin-VfB Stuttgart,30,30,2025-04-19 13:30:00+00:00,1. FC Union Berlin,VfB Stuttgart,,,12499493
263,2025-04-19 1. FSV Mainz 05-VfL Wolfsburg,30,30,2025-04-19 13:30:00+00:00,1. FSV Mainz 05,VfL Wolfsburg,,,12499492
264,2025-04-19 Borussia Dortmund-Borussia M'gladbach,30,30,2025-04-19 13:30:00+00:00,Borussia Dortmund,Borussia M'gladbach,,,12499483
265,2025-04-19 FC Augsburg-Eintracht Frankfurt,30,30,2025-04-19 13:30:00+00:00,FC Augsburg,Eintracht Frankfurt,,,12499490
266,2025-04-19 FC St. Pauli-Bayer 04 Leverkusen,30,30,2025-04-19 13:30:00+00:00,FC St. Pauli,Bayer 04 Leverkusen,,,12499494
267,2025-04-19 RB Leipzig-Holstein Kiel,30,30,2025-04-19 13:30:00+00:00,RB Leipzig,Holstein Kiel,,,12499482
268,2025-04-19 SC Freiburg-TSG Hoffenheim,30,30,2025-04-19 13:30:00+00:00,SC Freiburg,TSG Hoffenheim,,,12499487
269,2025-04-19 SV Werder Bremen-VfL Bochum 1848,30,30,2025-04-19 13:30:00+00:00,SV Werder Bremen,VfL Bochum 1848,,,12499486
270,2025-04-26 Bayer 04 Leverkusen-FC Augsburg,31,31,2025-04-26 13:30:00+00:00,Bayer 04 Leverkusen,FC Augsburg,,,12499496
271,2025-04-26 Eintracht Frankfurt-RB Leipzig,31,31,2025-04-26 13:30:00+00:00,Eintracht Frankfurt,RB Leipzig,,,12499500
272,2025-04-26 FC Bayern München-1. FSV Mainz 05,31,31,2025-04-26 13:30:00+00:00,FC Bayern München,1. FSV Mainz 05,,,12499499
273,2025-04-26 Holstein Kiel-Borussia M'gladbach,31,31,2025-04-26 13:30:00+00:00,Holstein Kiel,Borussia M'gladbach,,,12499509
274,2025-04-26 SV Werder Bremen-FC St. Pauli,31,31,2025-04-26 13:30:00+00:00,SV Werder Bremen,FC St. Pauli,,,12499503
275,2025-04-26 TSG Hoffenheim-Borussia Dortmund,31,31,2025-04-26 13:30:00+00:00,TSG Hoffenheim,Borussia Dortmund,,,12499501
276,2025-04-26 VfB Stuttgart-1. FC Heidenheim,31,31,2025-04-26 13:30:00+00:00,VfB Stuttgart,1. FC Heidenheim,,,12499497
277,2025-04-26 VfL Bochum 1848-1. FC Union Berlin,31,31,2025-04-26 13:30:00+00:00,VfL Bochum 1848,1. FC Union Berlin,,,12499508
278,2025-04-26 VfL Wolfsburg-SC Freiburg,31,31,2025-04-26 13:30:00+00:00,VfL Wolfsburg,SC Freiburg,,,12499506
279,2025-05-03 1. FC Heidenheim-VfL Bochum 1848,32,32,2025-05-03 13:30:00+00:00,1. FC Heidenheim,VfL Bochum 1848,,,12499513
280,2025-05-03 1. FC Union Berlin-SV Werder Bremen,32,32,2025-05-03 13:30:00+00:00,1. FC Union Berlin,SV Werder Bremen,,,12499522
281,2025-05-03 1. FSV Mainz 05-Eintracht Frankfurt,32,32,2025-05-03 13:30:00+00:00,1. FSV Mainz 05,Eintracht Frankfurt,,,12499519
282,2025-05-03 Borussia Dortmund-VfL Wolfsburg,32,32,2025-05-03 13:30:00+00:00,Borussia Dortmund,VfL Wolfsburg,,,12499512
283,2025-05-03 Borussia M'gladbach-TSG Hoffenheim,32,32,2025-05-03 13:30:00+00:00,Borussia M'gladbach,TSG Hoffenheim,,,12499520
284,2025-05-03 FC Augsburg-Holstein Kiel,32,32,2025-05-03 13:30:00+00:00,FC Augsburg,Holstein Kiel,,,12499517
285,2025-05-03 FC St. Pauli-VfB Stuttgart,32,32,2025-05-03 13:30:00+00:00,FC St. Pauli,VfB Stuttgart,,,12499523
286,2025-05-03 RB Leipzig-FC Bayern München,32,32,2025-05-03 13:30:00+00:00,RB Leipzig,FC Bayern München,,,12499510
287,2025-05-03 SC Freiburg-Bayer 04 Leverkusen,32,32,2025-05-03 13:30:00+00:00,SC Freiburg,Bayer 04 Leverkusen,,,12499515
288,2025-05-10 1. FC Union Berlin-1. FC Heidenheim,33,33,2025-05-10 13:30:00+00:00,1. FC Union Berlin,1. FC Heidenheim,,,12499535
289,2025-05-10 Bayer 04 Leverkusen-Borussia Dortmund,33,33,2025-05-10 13:30:00+00:00,Bayer 04 Leverkusen,Borussia Dortmund,,,12499525
290,2025-05-10 Eintracht Frankfurt-FC St. Pauli,33,33,2025-05-10 13:30:00+00:00,Eintracht Frankfurt,FC St. Pauli,,,12499530
291,2025-05-10 FC Bayern München-Borussia M'gladbach,33,33,2025-05-10 13:30:00+00:00,FC Bayern München,Borussia M'gladbach,,,12499528
292,2025-05-10 Holstein Kiel-SC Freiburg,33,33,2025-05-10 13:30:00+00:00,Holstein Kiel,SC Freiburg,,,12499538
293,2025-05-10 SV Werder Bremen-RB Leipzig,33,33,2025-05-10 13:30:00+00:00,SV Werder Bremen,RB Leipzig,,,12499532
294,2025-05-10 VfB Stuttgart-FC Augsburg,33,33,2025-05-10 13:30:00+00:00,VfB Stuttgart,FC Augsburg,,,12499526
295,2025-05-10 VfL Bochum 1848-1. FSV Mainz 05,33,33,2025-05-10 13:30:00+00:00,VfL Bochum 1848,1. FSV Mainz 05,,,12499536
296,2025-05-10 VfL Wolfsburg-TSG Hoffenheim,33,33,2025-05-10 13:30:00+00:00,VfL Wolfsburg,TSG Hoffenheim,,,12499534
297,2025-05-17 1. FC Heidenheim-SV Werder Bremen,34,34,2025-05-17 13:30:00+00:00,1. FC Heidenheim,SV Werder Bremen,,,12499397
298,2025-05-17 1. FSV Mainz 05-Bayer 04 Leverkusen,34,34,2025-05-17 13:30:00+00:00,1. FSV Mainz 05,Bayer 04 Leverkusen,,,12499435
299,2025-05-17 Borussia Dortmund-Holstein Kiel,34,34,2025-05-17 13:30:00+00:00,Borussia Dortmund,Holstein Kiel,,,12499542
300,2025-05-17 Borussia M'gladbach-VfL Wolfsburg,34,34,2025-05-17 13:30:00+00:00,Borussia M'gladbach,VfL Wolfsburg,,,12499447
301,2025-05-17 FC Augsburg-1. FC Union Berlin,34,34,2025-05-17 13:30:00+00:00,FC Augsburg,1. FC Union Berlin,,,12499425
302,2025-05-17 FC St. Pauli-VfL Bochum 1848,34,34,2025-05-17 13:30:00+00:00,FC St. Pauli,VfL Bochum 1848,,,12499456
303,2025-05-17 RB Leipzig-VfB Stuttgart,34,34,2025-05-17 13:30:00+00:00,RB Leipzig,VfB Stuttgart,,,12499539
304,2025-05-17 SC Freiburg-Eintracht Frankfurt,34,34,2025-05-17 13:30:00+00:00,SC Freiburg,Eintracht Frankfurt,,,12499412
305,2025-05-17 TSG Hoffenheim-FC Bayern München,34,34,2025-05-17 13:30:00+00:00,TSG Hoffenheim,FC Bayern München,,,12499543
